"Name" "RA" "Dec"
"N221" "00:42:42.07" "+40:51:59.76"
"N223" "00:42:42.07" "+00:51:00.00"
"N224" "00:42:42.07" "+41:15:59.76"
"N232" "00:42:42.07" "-23:33:59.76"
"NI45" "00:42:42.07" "+29:39:59.76"
"N226" "00:42:48.07" "+32:33:59.76"
"N228" "00:42:48.07" "+23:30:00.00"
"N235" "00:42:48.07" "-23:33:00.00"
"NI47" "00:42:54.07" "-13:45:00.00"
"N229" "00:43:00.07" "+23:28:59.88"
"NI46" "00:43:00.07" "+27:15:00.00"
"NI1574" "00:43:06.07" "-22:15:00.00"
"N225" "00:43:24.07" "+61:46:59.88"
"N233" "00:43:24.07" "+30:34:59.88"
"N234" "00:43:24.07" "+14:19:59.88"
"N238" "00:43:24.07" "-50:10:59.88"
"N241" "00:43:24.07" "-73:25:59.52"
"N236" "00:43:30.07" "+02:55:59.88"
"N237" "00:43:30.07" "-00:07:00.12"
"N242" "00:43:36.07" "-73:26:59.64"
"NI48" "00:43:36.07" "-07:52:59.88"
"NI1575" "00:43:36.07" "-04:09:00.00"
"N188" "00:44:00.07" "+85:19:59.52"
"NI49" "00:44:00.07" "+01:51:00.00"
"NI1576" "00:44:12.07" "-25:06:00.00"
"NI1578" "00:44:30.07" "-25:03:59.76"
"N239" "00:44:36.07" "-03:46:59.88"
"NI1577" "00:44:36.07" "-08:07:59.88"
"N240" "00:45:06.07" "+06:07:59.88"
"N248" "00:45:24.07" "-73:22:59.52"
"N249" "00:45:24.07" "-73:04:59.52"
"NI1579" "00:45:36.07" "-26:33:59.76"
"N244" "00:45:48.07" "-15:36:00.00"
"N243" "00:45:54.07" "+29:55:59.88"
"N256" "00:45:54.07" "-73:29:59.64"
"N245" "00:46:06.07" "-01:43:59.88"
"NI1581" "00:46:06.07" "-25:54:00.00"
"NI50" "00:46:12.07" "-09:30:00.00"
"NI1580" "00:46:18.07" "+29:54:59.76"
"NI1582" "00:46:18.07" "-24:18:00.00"
"NI51" "00:46:24.07" "-13:25:59.88"
"N261" "00:46:30.07" "-73:06:59.76"
"N246" "00:47:00.07" "-11:52:59.88"
"N247" "00:47:06.07" "-20:45:59.76"
"NI1583" "00:47:12.07" "+23:04:59.88"
"N250" "00:47:18.07" "+07:55:00.12"
"NI1585" "00:47:18.07" "+23:03:00.00"
"NI1584" "00:47:24.07" "+27:48:59.76"
"N254" "00:47:30.07" "-31:24:59.76"
"N253" "00:47:36.07" "-25:16:59.88"
"N265" "00:47:36.07" "-73:28:59.52"
"N251" "00:47:48.07" "+19:33:59.76"
"N255" "00:47:48.07" "-11:27:59.76"
"NI1586" "00:47:54.07" "+22:21:59.76"
"N252" "00:48:00.07" "+27:37:59.88"
