"Name" "RA" "Dec"
"NI2644" "11:14:30.07" "+10:46:00.12"
"NI2645" "11:14:30.07" "+11:54:00.00"
"N3593" "11:14:36.07" "+12:49:00.12"
"N3597" "11:14:36.07" "-23:43:00.12"
"NI2646" "11:14:36.07" "+12:32:00.24"
"NI2647" "11:14:42.07" "+12:09:00.00"
"NI2648" "11:14:42.07" "+10:14:00.24"
"N3587" "11:14:48.07" "+55:01:00.12"
"NI2649" "11:14:48.07" "+11:08:00.24"
"NI2650" "11:14:54.07" "+13:51:00.00"
"NI2651" "11:14:54.07" "+12:15:00.00"
"NI2652" "11:14:54.07" "+12:27:00.00"
"NI2653" "11:14:54.07" "+10:33:00.00"
"N3596" "11:15:06.07" "+14:47:00.24"
"N3603" "11:15:06.05" "-61:15:00.36"
"NI2654" "11:15:06.07" "+12:30:00.00"
"NI2655" "11:15:06.07" "+12:10:00.12"
"NI2656" "11:15:06.07" "+12:23:00.24"
"N3589" "11:15:12.05" "+60:42:00.36"
"N3598" "11:15:12.07" "+17:16:00.12"
"NI2657" "11:15:12.07" "+13:42:00.00"
"NI2658" "11:15:12.07" "+13:00:00.00"
"N3595" "11:15:24.07" "+47:27:00.36"
"N3599" "11:15:24.07" "+18:07:00.12"
"N3601" "11:15:30.07" "+05:07:00.12"
"NI2659" "11:15:30.07" "+12:53:00.24"
"NI2660" "11:15:30.07" "+12:26:00.24"
"NI2661" "11:15:30.07" "+13:37:00.12"
"NI2662" "11:15:30.07" "+12:46:00.12"
"NI2668" "11:15:30.07" "-14:10:59.88"
"NI2663" "11:15:36.07" "+12:36:00.00"
"NI2664" "11:15:36.07" "+12:34:00.12"
"NI2665" "11:15:42.07" "+11:43:00.12"
"NI2666" "11:15:42.07" "+13:47:00.24"
"NI2667" "11:15:42.07" "+12:07:00.12"
"N3600" "11:15:48.07" "+41:36:00.36"
"N3602" "11:15:48.07" "+17:25:00.12"
"NI2669" "11:15:54.07" "+13:26:00.24"
"NI2670" "11:16:00.07" "+11:47:00.24"
"N3594" "11:16:06.07" "+55:42:00.36"
"N3620" "11:16:06.05" "-76:13:00.12"
"NI2671" "11:16:06.07" "+13:08:00.24"
"NI2672" "11:16:06.07" "+10:10:00.12"
"NI2673" "11:16:06.07" "+10:10:00.12"
"N3606" "11:16:12.07" "-33:49:00.12"
"NI2674" "11:16:12.07" "+11:03:00.00"
"NI2675" "11:16:12.07" "+12:15:00.00"
"N3604" "11:16:18.07" "+04:31:00.12"
"NI2676" "11:16:18.07" "+09:50:00.24"
"NI2677" "11:16:18.07" "+12:13:00.12"
"NI2678" "11:16:24.07" "+11:57:00.00"
"NI2679" "11:16:24.07" "+12:01:00.12"
"NI2680" "11:16:24.07" "+09:49:00.12"
"NI679" "11:16:36.07" "-13:58:00.12"
"NI2681" "11:16:36.07" "+11:12:00.00"
"NI2682" "11:16:36.07" "+09:25:00.12"
"N3605" "11:16:48.07" "+18:01:00.12"
"N3607" "11:16:54.07" "+18:03:00.00"
"NI2683" "11:16:54.07" "+12:06:00.00"
"N3608" "11:17:00.07" "+18:09:00.00"
"NI2684" "11:17:00.07" "+13:06:00.00"
"NI2685" "11:17:00.07" "+10:06:00.00"
"NI2686" "11:17:06.07" "+12:57:00.00"
"NI2687" "11:17:12.07" "+10:10:00.12"
"NI2688" "11:17:18.07" "+13:29:00.24"
"NI2689" "11:17:18.07" "+12:58:00.12"
"NI2690" "11:17:24.07" "+12:59:00.24"
"NI2691" "11:17:24.07" "+12:02:00.24"
"N3611" "11:17:30.07" "+04:33:00.00"
"NI2692" "11:17:36.07" "+10:46:00.12"
"NI2693" "11:17:36.07" "+13:33:00.00"
"NI2694" "11:17:36.07" "+13:23:00.24"
"N3609" "11:17:48.07" "+26:38:00.24"
"N3617" "11:17:48.07" "-26:07:00.12"
"NI2695" "11:17:48.07" "+13:44:00.24"
"NI2696" "11:17:48.07" "+12:45:00.00"
"NI2697" "11:17:54.07" "+13:24:00.00"
"NI2698" "11:17:54.07" "+11:53:00.24"
"NI2699" "11:17:54.07" "+11:55:00.12"
"NI2700" "11:17:54.07" "+12:03:00.00"
"NI2714" "11:17:54.05" "-62:42:00.36"
"N3615" "11:18:00.07" "+23:24:00.00"
"NI680" "11:18:00.07" "-01:55:59.88"
"NI2701" "11:18:00.07" "+11:07:00.12"
"NI2702" "11:18:00.07" "+09:25:00.12"
"NI2703" "11:18:06.07" "+17:39:00.00"
"NI2704" "11:18:06.07" "+12:28:00.12"
"NI2705" "11:18:06.07" "+11:54:00.00"
"N3612" "11:18:12.07" "+26:38:00.24"
"N3616" "11:18:12.07" "+14:44:00.24"
"N3614" "11:18:18.07" "+45:45:00.36"
"N3621" "11:18:18.07" "-32:49:00.12"
"N3610" "11:18:24.07" "+58:47:00.24"
"N3618" "11:18:30.07" "+23:29:00.24"
"NI2706" "11:18:30.07" "+12:33:00.00"
"NI2707" "11:18:30.07" "+09:29:00.24"
"N3613" "11:18:36.07" "+58:00:00.36"
"NI681" "11:18:36.07" "-12:09:00.00"
"NI2708" "11:18:36.07" "+12:43:00.12"
"NI2709" "11:18:42.07" "+12:34:00.12"
"N3624" "11:18:48.07" "+07:32:00.24"
"NI2710" "11:18:48.07" "+13:34:00.12"
"NI2711" "11:18:48.07" "+13:44:00.24"
"N3623" "11:18:54.07" "+13:05:00.24"
"NI2712" "11:18:54.07" "+09:38:00.24"
"NI2713" "11:19:12.07" "+12:10:00.12"
"NI2715" "11:19:12.07" "+11:57:00.00"
"NI2716" "11:19:18.07" "+11:42:00.00"
"NI2717" "11:19:18.07" "+12:03:00.00"
"N3619" "11:19:24.07" "+57:46:00.12"
"NI2718" "11:19:24.07" "+12:01:00.12"
"NI2719" "11:19:30.07" "+12:04:00.12"
"NI2720" "11:19:36.07" "+12:05:00.24"
"NI2721" "11:19:42.07" "+12:09:00.00"
"NI2722" "11:19:42.07" "+13:58:00.12"
"NI2723" "11:19:48.07" "+12:02:00.24"
"NI2724" "11:19:48.07" "+10:43:00.12"
"NI2725" "11:20:00.07" "+13:26:00.24"
"NI2726" "11:20:00.07" "+13:25:00.12"
"NI2727" "11:20:00.07" "+12:02:00.24"
"N3626" "11:20:06.07" "+18:21:00.00"
"NI2728" "11:20:06.07" "+13:25:00.12"
"NI2729" "11:20:06.07" "+13:25:00.12"
"NI2730" "11:20:06.07" "+12:22:00.12"
"N3622" "11:20:12.05" "+67:15:00.36"
"N3627" "11:20:12.07" "+12:59:00.24"
"NI2731" "11:20:12.07" "+13:34:00.12"
"NI2732" "11:20:12.07" "+12:24:00.00"
"N3628" "11:20:18.07" "+13:36:00.00"
"N3630" "11:20:18.07" "+02:58:00.12"
"N3638" "11:20:18.07" "-08:06:00.00"
"N3633" "11:20:24.07" "+03:34:59.88"
"N3636" "11:20:24.07" "-10:16:59.88"
"NI2733" "11:20:24.07" "+13:52:00.12"
"NI2734" "11:20:24.07" "+12:27:00.00"
"N3625" "11:20:30.07" "+57:47:00.24"
"N3629" "11:20:30.07" "+26:58:00.12"
"N3632" "11:20:30.07" "+18:09:00.00"
"N3634" "11:20:36.07" "-09:01:00.12"
"N3635" "11:20:36.07" "-09:01:00.12"
"N3637" "11:20:42.07" "-10:16:00.12"
"NI2736" "11:20:54.07" "+12:25:00.12"
"N3631" "11:21:00.07" "+53:10:00.12"
"NI2735" "11:21:00.07" "+34:21:00.36"
"N3640" "11:21:06.07" "+03:13:59.88"
"NI2737" "11:21:06.07" "+14:18:00.00"
"N3641" "11:21:12.07" "+03:12:00.00"
"NI682" "11:21:12.07" "+20:13:00.12"
"NI2739" "11:21:12.07" "+11:55:00.12"
"NI2738" "11:21:18.07" "+34:22:00.12"
"NI2740" "11:21:18.07" "+08:45:00.00"
"NI2741" "11:21:18.07" "+09:09:00.00"
"NI2742" "11:21:18.07" "+10:27:00.00"
"N3643" "11:21:24.07" "+03:01:00.12"
"NI683" "11:21:24.07" "+02:45:00.00"
"NI2743" "11:21:24.07" "+08:42:00.00"
"N3639" "11:21:30.07" "+18:28:00.12"
"N3644" "11:21:30.07" "+02:49:00.12"
"NI2745" "11:21:30.07" "+13:26:00.24"
"N3645" "11:21:36.07" "+02:58:59.88"
"N3647" "11:21:36.07" "+02:54:00.00"
"NI684" "11:21:36.07" "+02:49:59.88"
"NI2746" "11:21:36.07" "+11:44:00.24"
"N3646" "11:21:42.07" "+20:10:00.12"
"NI2744" "11:21:42.07" "+34:22:00.12"
"NI2747" "11:21:42.07" "+08:48:00.00"
"NI2748" "11:21:42.07" "+08:48:00.00"
"NI2749" "11:21:42.07" "+08:35:00.24"
"NI2750" "11:21:54.07" "+09:40:00.12"
"NI2752" "11:22:00.07" "+14:08:00.24"
"NI2753" "11:22:00.07" "+09:53:00.24"
"NI2754" "11:22:00.07" "+14:09:00.00"
"NI2755" "11:22:00.07" "+13:48:00.00"
"NI2756" "11:22:00.07" "+09:58:00.12"
"NI2757" "11:22:00.07" "+08:24:00.00"
"NI2758" "11:22:00.07" "+07:49:00.12"
"NI685" "11:22:06.07" "+17:45:00.00"
"NI2751" "11:22:06.07" "+34:23:00.24"
"N3649" "11:22:12.07" "+20:13:00.12"
"NI2759" "11:22:12.07" "+24:19:00.12"
"NI2760" "11:22:12.07" "+12:40:00.12"
"N3642" "11:22:18.07" "+59:05:00.24"
"NI2761" "11:22:18.07" "+14:11:00.24"
"NI2762" "11:22:18.07" "+12:44:00.24"
"NI2763" "11:22:18.07" "+13:04:00.12"
"N3651" "11:22:24.07" "+24:18:00.00"
"NI2765" "11:22:24.07" "+14:13:00.12"
"NI2766" "11:22:24.07" "+12:54:00.00"
"NI2767" "11:22:24.07" "+13:05:00.24"
"NI2768" "11:22:24.07" "+12:32:00.24"
"NI2769" "11:22:24.07" "+14:12:00.00"
"NI2770" "11:22:24.07" "+09:13:00.12"
"N3653" "11:22:30.07" "+24:16:00.12"
"NI2771" "11:22:30.07" "+12:31:00.12"
"NI2772" "11:22:30.07" "+13:36:00.00"
"N3648" "11:22:36.07" "+39:53:00.24"
"N3650" "11:22:36.07" "+20:42:00.00"
"N3652" "11:22:36.07" "+37:46:00.12"
"NI2773" "11:22:36.07" "+13:34:00.12"
"NI2774" "11:22:36.07" "+12:31:00.12"
"NI2775" "11:22:42.07" "+12:31:00.12"
"NI2776" "11:22:42.07" "+13:20:00.24"
"NI2777" "11:22:42.07" "+12:02:00.24"
"NI2778" "11:22:42.07" "+12:31:00.12"
"NI2779" "11:22:48.07" "+13:21:00.00"
"NI2780" "11:22:48.07" "+10:09:00.00"
"NI2781" "11:22:48.07" "+12:21:00.00"
"N3655" "11:22:54.07" "+16:35:00.24"
"NI2782" "11:22:54.07" "+13:27:00.00"
"NI2783" "11:22:54.07" "+08:53:00.24"
"NI686" "11:23:06.07" "+05:39:00.00"
"NI2784" "11:23:12.07" "+13:07:00.12"
"NI2785" "11:23:18.07" "+13:23:00.24"
"NI2786" "11:23:18.07" "+13:23:00.24"
"NI2787" "11:23:18.07" "+13:39:00.00"
"NI2788" "11:23:24.07" "+12:42:00.00"
"NI2789" "11:23:30.07" "+14:11:00.24"
"N3656" "11:23:36.07" "+53:51:00.36"
"N3660" "11:23:36.07" "-08:40:00.12"
"NI689" "11:23:36.07" "-13:49:59.88"
"NI2790" "11:23:36.07" "+09:33:00.00"
"NI2791" "11:23:36.07" "+12:54:00.00"
"N3661" "11:23:42.07" "-13:48:00.00"
"NI688" "11:23:42.07" "-09:48:00.00"
"NI2792" "11:23:42.07" "+11:24:00.00"
"N3659" "11:23:48.07" "+17:49:00.12"
"N3662" "11:23:48.07" "-01:06:00.00"
"NI2793" "11:23:48.07" "+09:27:00.00"
"N3657" "11:23:54.07" "+52:55:00.12"
"N3658" "11:24:00.07" "+38:34:00.12"
"N3663" "11:24:00.07" "-12:16:59.88"
"N3654" "11:24:06.05" "+69:26:00.24"
"NI2794" "11:24:06.07" "+12:48:00.00"
"NI2795" "11:24:06.07" "+12:08:00.24"
"NI2796" "11:24:06.07" "+09:21:00.00"
"N3667" "11:24:18.07" "-13:49:00.12"
"NI687" "11:24:18.07" "+47:51:00.36"
"NI690" "11:24:18.07" "-08:21:00.00"
"N3664" "11:24:24.07" "+03:19:59.88"
"N3666" "11:24:24.07" "+11:21:00.00"
"NI2797" "11:24:24.07" "+11:42:00.00"
"NI2798" "11:24:24.07" "+12:25:00.12"
"NI2799" "11:24:24.07" "+13:51:00.00"
"NI2800" "11:24:30.07" "+12:12:00.00"
"NI2801" "11:24:30.07" "+10:11:00.24"
"NI2802" "11:24:30.07" "+12:13:00.12"
"NI2803" "11:24:36.07" "+09:51:00.00"
"N3665" "11:24:42.07" "+38:46:00.12"
"N3670" "11:24:42.07" "+23:57:00.00"
"NI2804" "11:24:54.07" "+13:13:00.12"
"N3672" "11:25:00.07" "-09:48:00.00"
"NI2805" "11:25:00.07" "+14:01:00.12"
"N3673" "11:25:12.07" "-26:44:00.24"
"NI2806" "11:25:18.07" "+09:39:00.00"
"NI2807" "11:25:18.07" "+11:32:00.24"
"N3669" "11:25:24.07" "+57:43:00.12"
"N3668" "11:25:30.05" "+63:27:00.36"
"NI2808" "11:25:30.07" "+09:08:00.24"
"N3676" "11:25:36.07" "-10:37:00.12"
"NI2809" "11:25:36.07" "+08:32:00.24"
"N3680" "11:25:42.07" "-43:15:00.36"
"N3671" "11:25:48.07" "+60:29:00.24"
"NI2810" "11:25:48.07" "+14:40:00.12"
"NI2811" "11:25:48.07" "+09:10:00.12"
"NI692" "11:25:54.07" "+09:59:00.24"
"NI2812" "11:25:54.07" "+11:32:00.24"
"N3675" "11:26:06.07" "+43:35:00.24"
"NI2813" "11:26:06.07" "+11:15:00.00"
"NI2814" "11:26:06.07" "+09:40:00.12"
"N3678" "11:26:12.07" "+27:53:00.24"
"N3679" "11:26:12.07" "-05:34:59.88"
"N3685" "11:26:12.07" "+04:07:59.88"
"N3677" "11:26:18.07" "+46:58:00.12"
"NI2815" "11:26:18.07" "+12:48:00.00"
"NI2816" "11:26:18.07" "+10:38:00.24"
"NI2817" "11:26:18.07" "+09:09:00.00"
"N3674" "11:26:24.07" "+57:03:00.36"
"NI2820" "11:26:24.07" "+10:14:00.24"
"N3681" "11:26:30.07" "+16:52:00.12"
"NI2818" "11:26:30.07" "+12:55:00.12"
"NI2819" "11:26:30.07" "+13:51:00.00"
"NI2821" "11:26:36.07" "+13:58:00.12"
"NI2822" "11:26:36.07" "+11:26:00.24"
"NI691" "11:26:42.07" "+59:09:00.36"
"NI2823" "11:26:42.07" "+12:50:00.24"
"NI693" "11:26:48.07" "-05:00:00.00"
"NI2825" "11:27:00.07" "+08:27:00.00"
"NI2764" "11:27:06.07" "-28:59:00.24"
"NI2824" "11:27:06.07" "+14:05:00.24"
"NI2826" "11:27:06.07" "+13:14:00.24"
"N3684" "11:27:12.07" "+17:02:00.24"
"NI2827" "11:27:12.07" "+11:31:00.12"
"NI2828" "11:27:12.07" "+08:43:00.12"
"NI2829" "11:27:12.07" "+10:18:00.00"
"NI2830" "11:27:24.07" "+07:48:00.00"
"NI2831" "11:27:24.07" "+08:59:00.24"
"NI2832" "11:27:24.07" "+13:59:00.24"
"NI2833" "11:27:24.07" "+13:36:00.00"
"N3683" "11:27:30.07" "+56:53:00.24"
"NI2834" "11:27:30.07" "+13:34:00.12"
"NI2835" "11:27:30.07" "+12:09:00.00"
"NI2836" "11:27:36.07" "+09:05:00.24"
"N3682" "11:27:42.05" "+66:35:00.24"
"N3686" "11:27:42.07" "+17:13:00.12"
"NI2837" "11:27:42.07" "+10:19:00.12"
"NI2884" "11:27:42.02" "-79:44:00.24"
"N3688" "11:27:48.07" "-09:10:00.12"
"NI2838" "11:27:48.07" "+14:01:00.12"
"NI2839" "11:27:48.07" "+10:49:00.12"
"NI2840" "11:27:48.07" "+13:26:00.24"
"NI2841" "11:27:48.07" "+12:36:00.00"
"NI2842" "11:27:48.07" "+09:39:00.00"
"N3687" "11:28:00.07" "+29:31:00.12"
"N3699" "11:28:00.07" "-59:57:00.36"
"NI695" "11:28:00.07" "-11:43:00.12"
"NI2843" "11:28:00.07" "+13:11:00.24"
"NI2844" "11:28:00.07" "+11:27:00.00"
"NI2845" "11:28:00.07" "+12:32:00.24"
"NI2846" "11:28:00.07" "+11:09:00.00"
"NI2847" "11:28:06.07" "+13:56:00.24"
"N3689" "11:28:12.07" "+25:40:00.12"
"N3691" "11:28:12.07" "+16:55:00.12"
"N3693" "11:28:12.07" "-13:10:00.12"
"NI2848" "11:28:12.07" "+13:02:00.24"
"NI2849" "11:28:12.07" "+09:06:00.00"
"NI2850" "11:28:12.07" "+09:04:00.12"
"NI2852" "11:28:12.07" "+09:48:00.00"
"NI2856" "11:28:12.07" "-12:52:59.88"
"NI2851" "11:28:18.07" "+11:24:00.00"
"NI2853" "11:28:18.07" "+09:08:00.24"
"NI2854" "11:28:18.07" "+08:58:00.12"
"N3692" "11:28:24.07" "+09:24:00.00"
"NI2855" "11:28:24.07" "+09:41:00.24"
"N3690" "11:28:30.07" "+58:33:00.36"
"NI694" "11:28:30.07" "+58:34:00.12"
"NI2857" "11:28:30.07" "+09:06:00.00"
"NI696" "11:28:36.07" "+09:05:00.24"
"NI697" "11:28:36.07" "-01:37:00.12"
"NI2858" "11:28:36.07" "+13:40:00.12"
"N3697" "11:28:42.07" "+20:48:00.00"
"NI2859" "11:28:42.07" "+09:07:00.12"
"NI2860" "11:28:42.07" "+14:02:00.24"
"NI2862" "11:28:42.07" "+10:08:00.24"
"N3696" "11:28:48.07" "-11:15:00.00"
"N3694" "11:28:54.07" "+35:24:00.36"
"NI2863" "11:28:54.07" "+09:06:00.00"
"N3698" "11:29:00.07" "+35:40:00.12"
"NI698" "11:29:00.07" "+09:06:00.00"
"NI2861" "11:29:00.07" "+38:51:00.36"
"NI2864" "11:29:00.07" "+12:22:00.12"
"NI2865" "11:29:00.07" "+09:07:00.12"
"NI2866" "11:29:00.07" "+09:03:00.00"
"NI2867" "11:29:00.07" "+09:05:00.24"
"NI2872" "11:29:00.07" "-62:57:00.36"
"NI699" "11:29:06.07" "+08:59:00.24"
"NI2868" "11:29:06.07" "+09:06:00.00"
"NI2869" "11:29:06.07" "+09:01:00.12"
"NI2870" "11:29:06.07" "+11:52:00.12"
"N3695" "11:29:12.07" "+35:35:00.24"
"NI700" "11:29:18.07" "+20:33:00.00"
"NI2871" "11:29:18.07" "+08:36:00.00"
"N3701" "11:29:24.07" "+24:05:00.24"
"N3711" "11:29:24.07" "-11:04:00.12"
"N3700" "11:29:30.07" "+35:31:00.12"
"NI2873" "11:29:30.07" "+13:12:00.00"
"NI2874" "11:29:30.07" "+10:38:00.24"
"N3703" "11:29:36.07" "-08:37:00.12"
"NI2875" "11:29:36.07" "+12:59:00.24"
"NI2876" "11:29:36.07" "+09:01:00.12"
"NI2877" "11:29:36.07" "+12:51:00.00"
"NI2878" "11:29:36.07" "+09:58:00.12"
"N3706" "11:29:42.07" "-36:25:00.12"
"NI2879" "11:29:42.07" "+09:01:00.12"
"NI2880" "11:29:54.07" "+13:12:00.00"
"NI2881" "11:29:54.07" "+12:31:00.12"
"N3704" "11:30:00.07" "-11:30:00.00"
"N3705" "11:30:06.07" "+09:17:00.24"
"N3707" "11:30:06.07" "-11:31:59.88"
"N3702" "11:30:12.07" "-08:52:00.12"
"NI2882" "11:30:12.07" "+11:59:00.24"
"NI2883" "11:30:18.07" "+10:55:00.12"
"NI2885" "11:30:24.07" "+09:46:00.12"
"NI2886" "11:30:24.07" "+11:34:00.12"
"NI2887" "11:30:30.07" "+09:23:00.24"
"NI2888" "11:30:36.07" "+09:55:00.12"
"NI2889" "11:30:36.07" "-13:04:59.88"
"N3708" "11:30:42.07" "-03:13:00.12"
"N3709" "11:30:42.07" "-03:15:00.00"
"NI701" "11:30:48.07" "+20:28:00.12"
"NI2890" "11:30:48.07" "+13:11:00.24"
"NI2891" "11:30:48.07" "+12:41:00.24"
"NI2892" "11:30:48.07" "+10:35:00.24"
"NI702" "11:30:54.07" "-04:55:59.88"
"NI2893" "11:30:54.07" "+13:23:00.24"
"N3710" "11:31:00.07" "+22:46:00.12"
"NI2894" "11:31:00.07" "+13:13:00.12"
"NI2895" "11:31:00.07" "+09:59:00.24"
"N3712" "11:31:06.07" "+28:34:00.12"
"NI2896" "11:31:12.07" "+12:21:00.00"
"NI2897" "11:31:18.07" "+11:33:00.00"
"NI2898" "11:31:18.07" "+13:20:00.24"
"NI2899" "11:31:18.07" "+10:38:00.24"
"N3715" "11:31:30.07" "-14:12:00.00"
"N3717" "11:31:30.07" "-30:19:00.12"
"NI2900" "11:31:30.07" "+13:10:00.12"
"NI2901" "11:31:30.07" "+12:42:00.00"
"N3713" "11:31:36.07" "+28:09:00.00"
"NI2902" "11:31:36.07" "+14:13:00.12"
"N3716" "11:31:42.07" "+03:30:00.00"
"NI2903" "11:31:42.07" "+12:38:00.24"
"NI2904" "11:31:42.07" "+13:11:00.24"
"N3714" "11:31:48.07" "+28:22:00.12"
"NI703" "11:31:48.07" "-11:36:00.00"
"NI2905" "11:31:48.07" "+09:06:00.00"
"NI2906" "11:31:48.07" "+13:08:00.24"
"NI2907" "11:31:48.07" "+09:54:00.00"
"NI2908" "11:31:48.07" "+12:56:00.24"
"NI2909" "11:31:48.07" "+11:28:00.12"
"NI2913" "11:31:48.07" "-30:25:00.12"
"NI704" "11:31:54.07" "-11:33:00.00"
"NI2910" "11:31:54.07" "-09:45:00.00"
"NI2911" "11:32:06.07" "+12:59:00.24"
"NI2912" "11:32:06.07" "+11:43:00.12"
"N3719" "11:32:12.07" "+00:49:00.12"
"NI2914" "11:32:12.07" "+13:30:00.00"
"NI2915" "11:32:18.07" "+14:29:00.24"
"NI2916" "11:32:18.07" "+11:41:00.24"
"NI2917" "11:32:18.07" "+10:57:00.00"
"N3720" "11:32:24.07" "+00:48:00.00"
"N3723" "11:32:24.07" "-09:58:00.12"
"NI2918" "11:32:24.07" "+13:15:00.00"
"N3718" "11:32:36.07" "+53:04:00.12"
"NI2919" "11:32:36.07" "+14:11:00.24"
"NI2920" "11:32:48.07" "+12:34:00.12"
"NI2921" "11:32:48.07" "+10:18:00.00"
"NI705" "11:32:54.07" "+50:14:00.24"
"NI2922" "11:32:54.07" "+12:55:00.12"
"NI2923" "11:32:54.07" "+13:10:00.12"
"NI2924" "11:32:54.07" "+09:01:00.12"
"NI706" "11:33:06.07" "-13:22:00.12"
"NI2926" "11:33:06.07" "+12:26:00.24"
"NI2927" "11:33:06.07" "+13:05:00.24"
"N3728" "11:33:12.07" "+24:27:00.00"
"NI2925" "11:33:12.07" "+34:16:00.12"
"N3726" "11:33:18.07" "+47:02:00.24"
"NI2928" "11:33:30.07" "+34:18:00.36"
"NI2929" "11:33:30.07" "+12:08:00.24"
"NI707" "11:33:36.07" "+21:22:00.12"
"N3725" "11:33:42.07" "+61:53:00.24"
"N3727" "11:33:42.07" "-13:52:00.12"
"NI2930" "11:33:42.07" "+10:05:00.24"
"N3729" "11:33:48.07" "+53:08:00.24"
"NI2931" "11:33:48.07" "+12:28:00.12"
"NI708" "11:33:54.07" "+49:03:00.36"
"NI2932" "11:33:54.07" "+10:33:00.00"
"N3731" "11:34:12.07" "+12:32:00.24"
"N3732" "11:34:12.07" "-09:51:00.00"
"NI709" "11:34:12.07" "+49:02:00.24"
"NI2933" "11:34:12.07" "+34:18:00.36"
"NI2934" "11:34:18.07" "+13:20:00.24"
"N3721" "11:34:24.07" "-09:34:59.88"
"NI710" "11:34:24.07" "+25:51:00.00"
"N3722" "11:34:30.07" "-09:39:00.00"
"N3724" "11:34:30.07" "-09:40:59.88"
"N3730" "11:34:42.07" "-09:37:00.12"
"N3734" "11:34:42.07" "-14:06:00.00"
"NI711" "11:34:42.07" "+48:57:00.36"
"NI712" "11:34:48.07" "+49:04:00.12"
"NI713" "11:34:48.07" "+16:51:00.00"
"NI2935" "11:34:48.07" "+10:15:00.00"
"NI2936" "11:34:54.07" "+13:01:00.12"
"N3733" "11:35:00.07" "+54:51:00.36"
"NI2937" "11:35:06.07" "+10:06:00.00"
"N3742" "11:35:24.07" "-37:56:00.24"
"N3736" "11:35:36.05" "+73:28:00.48"
"N3737" "11:35:36.07" "+54:57:00.36"
"N3739" "11:35:36.07" "+25:04:00.12"
"NI2938" "11:35:36.07" "+13:41:00.24"
"NI2939" "11:35:36.07" "+10:42:00.00"
"N3738" "11:35:48.07" "+54:31:00.12"
"N3743" "11:35:48.07" "+21:44:00.24"
"N3744" "11:35:48.07" "+23:00:00.00"
"N3749" "11:35:48.07" "-37:59:00.24"
"N3735" "11:36:00.05" "+70:32:00.24"
"N3741" "11:36:00.07" "+45:18:00.36"
"NI2940" "11:36:00.07" "+21:46:00.12"
"N3766" "11:36:06.07" "-61:37:00.12"
"N3777" "11:36:06.07" "-12:34:00.12"
"N3740" "11:36:12.07" "+59:59:00.24"
"NI2941" "11:36:12.07" "+10:03:00.00"
"NI2942" "11:36:12.07" "+11:49:00.12"
"N3758" "11:36:24.07" "+21:36:00.00"
"N3763" "11:36:24.07" "-09:49:59.88"
"NI714" "11:36:30.07" "-09:51:00.00"
"N3755" "11:36:36.07" "+36:25:00.12"
"NI2944" "11:36:36.07" "-63:02:00.24"
"NI2943" "11:36:42.07" "+54:51:00.36"
"N3756" "11:36:48.07" "+54:18:00.36"
"N3761" "11:36:48.07" "+23:00:00.00"
"N3759" "11:36:54.07" "+54:49:00.12"
"N3764" "11:36:54.07" "+17:54:00.00"
"NI715" "11:36:54.07" "-08:22:00.12"
"N3757" "11:37:06.07" "+58:26:00.24"
"N3765" "11:37:06.07" "+24:07:00.12"
"NI2945" "11:37:06.07" "+12:55:00.12"
"N3768" "11:37:12.07" "+17:51:00.00"
"N3767" "11:37:18.07" "+16:53:00.24"
"N3747" "11:37:30.05" "+74:59:00.24"
"N3762" "11:37:30.07" "+61:46:00.48"
"NI2946" "11:37:30.07" "+32:14:00.24"
"NI2947" "11:37:30.07" "+31:22:00.12"
"N3752" "11:37:36.05" "+75:17:00.24"
"N3745" "11:37:42.07" "+22:01:00.12"
"N3746" "11:37:42.07" "+22:00:00.00"
"N3769" "11:37:42.07" "+47:54:00.36"
"N3748" "11:37:48.07" "+22:02:00.24"
"N3772" "11:37:48.07" "+22:42:00.00"
"N3750" "11:37:54.07" "+21:58:00.12"
"N3751" "11:37:54.07" "+21:56:00.24"
"N3753" "11:37:54.07" "+21:59:00.24"
"N3754" "11:37:54.07" "+21:59:00.24"
"N3770" "11:38:00.07" "+59:37:00.12"
"N3789" "11:38:06.07" "-09:36:00.00"
"N3773" "11:38:12.07" "+12:07:00.12"
"N3775" "11:38:18.07" "-10:37:00.12"
"N3776" "11:38:18.07" "-03:19:59.88"
"N3771" "11:38:24.07" "-09:19:59.88"
"N3778" "11:38:24.07" "-50:43:00.12"
"N3774" "11:38:36.07" "-08:58:59.88"
"NI2948" "11:38:48.07" "-63:32:00.24"
"N3779" "11:38:54.07" "-10:37:00.12"
"N3781" "11:39:00.07" "+26:22:00.12"
"N3783" "11:39:00.07" "-37:45:00.00"
"NI716" "11:39:06.07" "-00:13:00.12"
"N3782" "11:39:18.07" "+46:31:00.12"
"N3780" "11:39:24.07" "+56:16:00.12"
"N3784" "11:39:24.07" "+26:20:00.24"
"N3793" "11:39:24.07" "+31:52:00.12"
"NI717" "11:39:24.07" "-10:39:00.00"
"N3785" "11:39:30.07" "+26:19:00.12"
"N3794" "11:39:36.07" "+55:11:00.24"
"N3786" "11:39:42.07" "+31:55:00.12"
"N3787" "11:39:42.07" "+20:29:00.24"
"N3788" "11:39:42.07" "+31:56:00.24"
"N3790" "11:39:48.07" "+17:43:00.12"
"N3791" "11:39:48.07" "-09:22:59.88"
"N3792" "11:39:48.07" "+05:00:00.00"
